URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are only for profit
URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
CC: Downplaying climate change	CC: Downplaying climate change: Human activities do not impact climate change
URW: Praise of Russia	URW: Praise of Russia: Praise of Russian military might
URW: Praise of Russia	URW: Praise of Russia: Praise of Russian President Vladimir Putin
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
URW: Discrediting Russia	URW: Discrediting Russia: Other
URW: Negative Consequences for the West	URW: Negative Consequences for the West: Other
URW: Praise of Russia	URW: Praise of Russia: Praise of Russian President Vladimir Putin
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
CC: Climate change is beneficial	CC: Climate change is beneficial: CO2 is beneficial
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective
URW: Speculating war outcomes	URW: Speculating war outcomes: Other
URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
URW: Negative Consequences for the West	URW: Negative Consequences for the West: The conflict will increase the Ukrainian refugee flows to Europe
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
URW: Negative Consequences for the West	URW: Negative Consequences for the West: The conflict will increase the Ukrainian refugee flows to Europe
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
CC: Controversy about green technologies	CC: Controversy about green technologies: Renewable energy is costly
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The West is overreacting
CC: Criticism of climate movement	CC: Criticism of climate movement: Other
URW: Discrediting the West, Diplomacy	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective
CC: Controversy about green technologies	CC: Controversy about green technologies: Renewable energy is costly
CC: Green policies are geopolitical instruments	CC: Green policies are geopolitical instruments: Other
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies have negative impact on the economy
CC: Criticism of climate movement	CC: Criticism of climate movement: Climate movement is alarmist
URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
